[1.5, 0.5, 1.0, 79, 4]
[1.5, 0.5, 1.0, 87, 6]
[1.0, 0.5, 1.0, 89, 4]
[0.7, 0.5, 1.0, 90, 3]
[1.5, 0.5, 0.5384615384615384, 120, 8]
[1.5, 0.5, 0.5384615384615384, 120, 8]
[1.5, 0.5, 1.0, 129, 8]
[1.4, 0.5, 1.0, 131, 6]
[1.4, 0.5, 0.9333333333333333, 149, 8]
[1.4, 0.5, 0.6666666666666666, 160, 11]
[1.4, 1, 0.6666666666666666, 157, 14]
[1.5, 1, 0.6666666666666666, 153, 18]
[1.4, 0.8, 0.6666666666666666, 158, 13]
[1.4, 0.75, 0.6666666666666666, 159, 12]
[1.4, 0.75, 0.7272727272727273, 196, 12]
[1.4, 0.5, 0.8181818181818182, 197, 11]
[1.4, 0.75, 0.7272727272727273, 196, 12]
[1.4, 0.75, 0.8, 292, 17]
[1.4, 0.75, 0.5, 424, 20]
[1.4, 0.75, 0.5, 557, 26]
[1.4, 0.75, 0.631578947368421, 631, 27]
[1.4, 0.75, 1.0, 698, 30]
[1.4, 0.75, 0.8333333333333334, 783, 31]
[1.4, 0.75, 0.8333333333333334, 783, 31]
[1.4, 0.75, 0.8333333333333334, 783, 31]
[1.4, 0.75, 0.8333333333333334, 783, 31]
[1.4, 0.75, 0.8333333333333334, 783, 31]
[1.4, 0.75, 0.8333333333333334, 783, 31]
[1.4, 0.75, 0.8333333333333334, 783, 31]
[1.4, 0.75, 0.8333333333333334, 783, 31]
[1.4, 0.75, 0.75, 783, 31]
[1.4, 0.75, 0.75, 783, 31]
[1.4, 0.75, 0.75, 783, 31]
[1.4, 0.75, 0.75, 783, 31]
[1.4, 0.75, 0.75, 783, 31]
[1.4, 0.75, 0.75, 814, 32]
[1.4, 0.75, 0.75, 941, 33]
[1.4, 0.75, 0.75, 941, 33]
[1.4, 0.75, 0.75, 941, 33]
[11.4, 0.75, 0.75, 48, 926]
[1.4, 0.75, 0.75, 941, 33]
[1.4, 0.75, 0.75, 941, 33]
[1.4, 0.75, 0.75, 973, 37]
[1.4, 0.75, 0.75, 1119, 58]
[1.4, 0.75, 0.75, 1119, 58]
[1.4, 0.75, 0.75, 1168, 60]
[1.4, 0.75, 0.75, 1211, 61]
[1.4, 0.75, 0.75, 1387, 75]
[1.4, 0.75, 0.75, 1413, 85]
[1.4, 0.75, 0.75, 1413, 85]
[1.4, 0.75, 0.75, 1518, 112]
[1.4, 0.75, 0.75, 1518, 112]
[1.4, 0.75, 0.75, 1518, 112]
[1.4, 0.75, 0.75, 1527, 114]
[1.4, 0.75, 0.75, 1527, 114]
[1.4, 0.75, 0.75, 1527, 114]
[1.4, 0.75, 0.75, 1527, 114]
[1.4, 0.75, 0.75, 1527, 114]
[1.4, 0.75, 0.75, 1527, 114]
[1.4, 0.75, 0.75, 1527, 114]
[1.4, 0.75, 0.75, 1527, 114]
[1.4, 0.75, 0.75, 1527, 114]
[1.4, 0.75, 0.75, 1732, 144]
[1.4, 0.75, 0.75, 1845, 160]
[1.4, 0.75, 0.75, 1879, 166]
[1.4, 0.75, 0.75, 1967, 174]
[1.4, 0.75, 0.75, 1967, 174]
[1.4, 0.75, 0.75, 1967, 174]
[1.4, 0.75, 0.75, 1967, 174]
[1.4, 0.5, 0.75, 1974, 167]
[2.5, 1.5, 0.3333333333333333, 1649, 492]
[0.5, 0.5, 0.75, 2071, 70]
[1.4, 0.5, 0.75, 1974, 167]
[0.5, 0.5, 0.75, 2071, 70]
[0.5, 0.75, 0.75, 2056, 85]
[1.0, 0.5, 0.75, 2035, 106]
[1.0, 0.75, 0.75, 2026, 115]
[1.2, 0.75, 0.75, 2000, 141]
[1.4, 0.75, 0.75, 1967, 174]
[1.7, 0.75, 0.75, 1912, 229]
[2.0, 0.75, 0.75, 1831, 310]
[3.0, 0.75, 0.75, 1506, 635]
[0.0, 0.75, 0.75, 2056, 0]
[0.0, 0.75, 0.75, 1830, 0]
[0.0, 0.75, 0.75, 1830, 0]
[0.0, 0.75, 0.75, 1830, 0]
[0.0, 0.75, 0.75, 1830, 0]
[0.0, 0.75, 0.75, 1791, 0]
[0.0, 0.75, 0.75, 1791, 0]
[0.0, 0.75, 0.75, 1791, 0]
[0.0, 0.75, 0.75, 1791, 0]
[0.0, 0.0, 1.0, 1836, 0]
[0.0, 0.0, 1.0, 1836, 0]
[0.0, 0.0, 1.0, 1528, 0]
[0.0, 0.0, 1.0, 1854, 0]
[1.4, 0.75, 0.75, 1724, 0]
[1.4, 0.75, 0.75, 1724, 0]
[0.0, 0.0, 1.0, 1836, 0]
[0.0, 0.0, 1.0, 1836, 0]
[0.0, 0.0, 1.0, 1836, 0]
[0.0, 0.0, 1.0, 1836, 0]
[0.0, 0.0, 1.0, 1836, 0]
[0.0, 0.0, 1.0, 1836, 0]
[0.5, 0.5, 10, 3, 0.9752452125175152, 1.0, 0.9714131607335491, 0.9854993160054719]
[1.0, 0.5, 10, 3, 0.9635684259691732, 1.0, 0.9579288025889967, 0.9785123966942149]
[1.0, 0.5, 10, 2, 0.9285380663241476, 1.0, 0.9174757281553398, 0.9569620253164557]
[1.2, 0.5, 10, 2, 0.9229332087809435, 1.0, 0.9110032362459547, 0.9534292972057578]
[1.2, 0.75, 10, 3, 0.9532928538066324, 1.0, 0.9460625674217907, 0.9722838137472284]
[1.2, 0.75, 10, 2, 0.9033162073797291, 1.0, 0.8883495145631068, 0.9408740359897173]
[1.4, 0.75, 10, 2, 0.8953759925268566, 1.0, 0.8791801510248112, 0.9357060849598163]
[1.4, 0.75, 3, 3, 0.1546006539000467, 1.0, 0.023732470334412083, 0.046364594309799785]
