[0.5, 0.5, 10, 3, 0.9752452125175152, 1.0, 0.9714131607335491, 0.9854993160054719]
[1.0, 0.5, 10, 3, 0.9635684259691732, 1.0, 0.9579288025889967, 0.9785123966942149]
[1.0, 0.5, 10, 2, 0.9285380663241476, 1.0, 0.9174757281553398, 0.9569620253164557]
[1.2, 0.5, 10, 2, 0.9229332087809435, 1.0, 0.9110032362459547, 0.9534292972057578]
[1.2, 0.75, 10, 3, 0.9532928538066324, 1.0, 0.9460625674217907, 0.9722838137472284]
[1.2, 0.75, 10, 2, 0.9033162073797291, 1.0, 0.8883495145631068, 0.9408740359897173]
[1.4, 0.75, 10, 2, 0.8953759925268566, 1.0, 0.8791801510248112, 0.9357060849598163]
[1.4, 0.75, 10, 3, 0.9392807099486221, 1.0, 0.9298813376483279, 0.9636668529904975]
[1.8, 0.5, 10, 2, 0.883232134516581, 1.0, 0.8651564185544768, 0.9277038750722961]
[1.8, 0.75, 10, 2, 0.8692199906585708, 1.0, 0.8489751887810141, 0.9183197199533255]
[1.8, 0.75, 10, 3, 0.9042503503035965, 1.0, 0.8894282632146709, 0.941478732514987]
[2.0, 0.5, 10, 2, 0.8654834189631013, 1.0, 0.8446601941747572, 0.9157894736842105]
[2.0, 0.75, 10, 2, 0.8533395609528258, 1.0, 0.8306364617044228, 0.9074837949322333]
[2.0, 0.75, 10, 3, 0.8855674918262494, 1.0, 0.8678532901833873, 0.9292520935604967]
[2.5, 0.75, 10, 3, 0.8206445586174684, 1.0, 0.7928802588996764, 0.8844765342960289]
[2.5, 0.75, 10, 2, 0.7986921999065857, 1.0, 0.767529665587918, 0.8684772657918828]
[2.0, 0.5, 10, 3, 0.8865016347501168, 1.0, 0.8689320388349514, 0.9298701298701298]
[2.5, 0.5, 10, 3, 0.8206445586174684, 1.0, 0.7928802588996764, 0.8844765342960289]
